match_id,home,away,fact_type,value,numeric_value,team,player,source_title,source_url,source_domain,confidence,extracted_at
537413,Panama,England,market_consensus,"World Cup 2026 Group L preview: Prediction, odds, full team overviews - Yahoo Sports The Group of Death concept is a casualty of the expanded 48-team field at this World Cup, but Group L may come close. With title hopefuls England along wit",,,,"World Cup 2026 Group L preview: Prediction, odds, full team overviews - Yahoo Sports",https://sports.yahoo.com/articles/world-cup-2026-group-l-210000215.html,sports.yahoo.com,0.35,2026-06-18T18:48:05.034799+00:00
537413,Panama,England,source_note,"World Cup 2026 Group L preview: Prediction, odds, full team overviews - Yahoo Sports The Group of Death concept is a casualty of the expanded 48-team field at this World Cup, but Group L may come close. With title hopefuls England along wit",,,,"World Cup 2026 Group L preview: Prediction, odds, full team overviews - Yahoo Sports",https://sports.yahoo.com/articles/world-cup-2026-group-l-210000215.html,sports.yahoo.com,0.35,2026-06-18T18:48:05.035104+00:00
537413,Panama,England,lineup,"Panama vs England - live score, predicted lineups and H2H stats Jun 27, 2026, The current head to head record for the teams are Panama 0 win(s), England 1 win(s), and 0 draw(s). Recent Form Panama W 1 -",,Panama,,"Panama vs England - live score, predicted lineups and H2H stats",https://www.fotmob.com/matches/panama-vs-england/1pukme,fotmob.com,0.9,2026-06-18T18:48:05.035282+00:00
537413,Panama,England,h2h,"Panama vs England - live score, predicted lineups and H2H stats Jun 27, 2026, The current head to head record for the teams are Panama 0 win(s), England 1 win(s), and 0 draw(s). Recent Form Panama W 1 -",,,,"Panama vs England - live score, predicted lineups and H2H stats",https://www.fotmob.com/matches/panama-vs-england/1pukme,fotmob.com,0.9,2026-06-18T18:48:05.035348+00:00
537413,Panama,England,recent_form,"Panama vs England - live score, predicted lineups and H2H stats Jun 27, 2026, The current head to head record for the teams are Panama 0 win(s), England 1 win(s), and 0 draw(s). Recent Form Panama W 1 -",,Panama,,"Panama vs England - live score, predicted lineups and H2H stats",https://www.fotmob.com/matches/panama-vs-england/1pukme,fotmob.com,0.9,2026-06-18T18:48:05.035410+00:00
537413,Panama,England,market_consensus,"Form and head to head stats Panama vs England - Sky Sports Panama vs England. FIFA World Cup Group L. 10:00pm, Saturday 27th June 2026. MetLife Stadium. Panama 0. England 0. Latest FIFA World Cup Odds.",,,,Form and head to head stats Panama vs England - Sky Sports,https://www.skysports.com/football/panama-vs-england/549837,skysports.com,0.9,2026-06-18T18:48:05.035580+00:00
537413,Panama,England,h2h,"Form and head to head stats Panama vs England - Sky Sports Panama vs England. FIFA World Cup Group L. 10:00pm, Saturday 27th June 2026. MetLife Stadium. Panama 0. England 0. Latest FIFA World Cup Odds.",,,,Form and head to head stats Panama vs England - Sky Sports,https://www.skysports.com/football/panama-vs-england/549837,skysports.com,0.9,2026-06-18T18:48:05.035660+00:00
537413,Panama,England,market_consensus,"Panama vs. England - Live Score - June 27, 2026 | FOX Sports View the Panama vs. England game played on June 27, 2026. Box score, stats, play-by-play timeline, highlights, odds & more.",,,,"Panama vs. England - Live Score - June 27, 2026 | FOX Sports",https://www.foxsports.com/soccer/fifa-world-cup-men-panama-vs-england-jun-27-2026-game-boxscore-647682,foxsports.com,0.35,2026-06-18T18:48:05.036113+00:00
537413,Panama,England,injury,"Team News: Ghana vs. Panama injury, suspension list, predicted XIs Panama/https%3A%2F%2Fsportsmole-media-prod.s3.gra.io.cloud.ovh.net%2F21%2F12%2Fpanlog.png). # Team News: Ghana vs. Panama injury, suspension list, predicted XIs | World Cup ",,Panama,,"Team News: Ghana vs. Panama injury, suspension list, predicted XIs",https://www.sportsmole.co.uk/football/ghana/injury-news/team-news/ghana-vs-panama-injury-suspension-list-predicted-xis_599289.html,sportsmole.co.uk,0.7,2026-06-18T18:48:05.037573+00:00
537413,Panama,England,lineup,"Team News: Ghana vs. Panama injury, suspension list, predicted XIs Panama/https%3A%2F%2Fsportsmole-media-prod.s3.gra.io.cloud.ovh.net%2F21%2F12%2Fpanlog.png). # Team News: Ghana vs. Panama injury, suspension list, predicted XIs | World Cup ",,Panama,,"Team News: Ghana vs. Panama injury, suspension list, predicted XIs",https://www.sportsmole.co.uk/football/ghana/injury-news/team-news/ghana-vs-panama-injury-suspension-list-predicted-xis_599289.html,sportsmole.co.uk,0.7,2026-06-18T18:48:05.037785+00:00
537413,Panama,England,source_note,"Team News: Ghana vs. Panama injury, suspension list, predicted XIs Panama/https%3A%2F%2Fsportsmole-media-prod.s3.gra.io.cloud.ovh.net%2F21%2F12%2Fpanlog.png). # Team News: Ghana vs. Panama injury, suspension list, predicted XIs | World Cup ",,,,"Team News: Ghana vs. Panama injury, suspension list, predicted XIs",https://www.sportsmole.co.uk/football/ghana/injury-news/team-news/ghana-vs-panama-injury-suspension-list-predicted-xis_599289.html,sportsmole.co.uk,0.7,2026-06-18T18:48:05.038102+00:00
537413,Panama,England,lineup,2026 World Cup Predicted Lineups – All 48 Teams - Bulinews # Predicted lineups for all 48 teams at the World Cup. Looking for predicted lineups for your 2026 World Cup Fantasy team? This article features our predicted lineups for all 48 tea,,England,,2026 World Cup Predicted Lineups – All 48 Teams - Bulinews,https://bulinews.com/predicted-lineups-for-all-48-teams-the-2026-world-cup,bulinews.com,0.35,2026-06-18T18:48:05.038732+00:00
537413,Panama,England,key_player,2026 World Cup Predicted Lineups – All 48 Teams - Bulinews # Predicted lineups for all 48 teams at the World Cup. Looking for predicted lineups for your 2026 World Cup Fantasy team? This article features our predicted lineups for all 48 tea,,England,,2026 World Cup Predicted Lineups – All 48 Teams - Bulinews,https://bulinews.com/predicted-lineups-for-all-48-teams-the-2026-world-cup,bulinews.com,0.35,2026-06-18T18:48:05.038991+00:00
537413,Panama,England,source_note,2026 World Cup Predicted Lineups – All 48 Teams - Bulinews # Predicted lineups for all 48 teams at the World Cup. Looking for predicted lineups for your 2026 World Cup Fantasy team? This article features our predicted lineups for all 48 tea,,,,2026 World Cup Predicted Lineups – All 48 Teams - Bulinews,https://bulinews.com/predicted-lineups-for-all-48-teams-the-2026-world-cup,bulinews.com,0.35,2026-06-18T18:48:05.039317+00:00
537413,Panama,England,injury,"England XI vs Croatia: Predicted lineup, confirmed team news, injury ... Celebration: Harry Kane scored twice as England beat Croatia 4-2 in their World Cup opener in Dallas. England are off to an emphatic winning start at the 2026 World Cu",,England,,"England XI vs Croatia: Predicted lineup, confirmed team news, injury ...",https://www.standard.co.uk/sport/football/england-xi-vs-croatia-predicted-lineup-confirmed-team-news-injury-latest-world-cup-2026-today-b1286032.html,standard.co.uk,0.35,2026-06-18T18:48:05.039907+00:00
537413,Panama,England,lineup,"England XI vs Croatia: Predicted lineup, confirmed team news, injury ... Celebration: Harry Kane scored twice as England beat Croatia 4-2 in their World Cup opener in Dallas. England are off to an emphatic winning start at the 2026 World Cu",,England,,"England XI vs Croatia: Predicted lineup, confirmed team news, injury ...",https://www.standard.co.uk/sport/football/england-xi-vs-croatia-predicted-lineup-confirmed-team-news-injury-latest-world-cup-2026-today-b1286032.html,standard.co.uk,0.35,2026-06-18T18:48:05.040103+00:00
537413,Panama,England,market_consensus,"Panama World Cup Odds: Squad, Path to the Final & Top Picks Panama's odds to win the 2026 World Cup are around +100000 at leading US sportsbooks, an implied probability of about 0.1%.",,,,"Panama World Cup Odds: Squad, Path to the Final & Top Picks",https://www.squawka.com/us/outright-markets/panama-world-cup-2026-odds,squawka.com,0.7,2026-06-18T18:48:05.040331+00:00
537413,Panama,England,market_consensus,England World Cup 2026 Odds - World Cup Winner Odds Home Best Football World Cup Betting Sites for UK Players in 2026 England to Win World Cup Odds for 2026. # England to Win World Cup Odds for 2026. England World Cup odds of 6/1 put them t,,,,England World Cup 2026 Odds - World Cup Winner Odds,https://gamingamerica.com/uk/world-cup-betting-sites/england-odds,gamingamerica.com,0.35,2026-06-18T18:48:05.040953+00:00
537413,Panama,England,market_consensus,England World Cup odds 2026: Compare odds on England to win World Cup - Yahoo Sports # England World Cup odds 2026: Compare odds on England to win World Cup. Thomas Tuchel’s side are third favourites for the World Cup (Getty). This page det,,,,England World Cup odds 2026: Compare odds on England to win World Cup - Yahoo Sports,https://sports.yahoo.com/articles/england-world-cup-odds-2026-100456650.html,sports.yahoo.com,0.35,2026-06-18T18:48:05.041636+00:00
537413,Panama,England,market_consensus,England World Cup Odds & Betting Guide for 2026 - TheLines.com Home » Odds » World Cup » England Odds. # England world cup odds for 2026: Latest betting lines for the England national team. England World Cup odds for 2026 are already drawin,,,,England World Cup Odds & Betting Guide for 2026 - TheLines.com,https://www.thelines.com/odds/world-cup/england-odds,thelines.com,0.35,2026-06-18T18:48:05.042309+00:00
